le,x,y,pol
28468,52,94,1
29422,110,101,1
24315,123,61,1
21383,7,39,1
11354,90,88,0
29769,73,104,1
29748,52,104,1
28900,100,97,1
4792,56,37,0
27697,49,88,1
17474,66,8,1
29797,101,104,1
25971,115,74,1
13489,49,105,0
29359,47,101,1
10653,29,83,0
10809,57,84,0
2295,119,17,0
13437,125,104,0
18369,65,15,1
28869,69,97,1
12916,116,100,0
12188,28,95,0
18366,62,15,1
29275,91,100,1
23314,18,54,1
8879,47,69,0
29167,111,99,1
29513,73,102,1
14006,54,109,0
17601,65,9,1
22203,59,45,1
12656,112,98,0
26603,107,79,1
29995,43,106,1
22837,53,50,1
13555,115,105,0
5556,52,43,0
26348,108,77,1
27258,122,84,1
23682,2,57,1
21950,62,43,1
29027,99,98,1
23867,59,58,1
24577,1,64,1
24707,3,65,1
25656,56,72,1
24432,112,62,1
26604,108,79,1
23680,0,57,1
27180,44,84,1
25653,53,72,1
7489,65,58,0
22416,16,47,1
24440,120,62,1
25136,48,68,1
24971,11,67,1
2371,67,18,0
13556,116,105,0
10223,111,79,0
9399,55,73,0
22584,56,48,1
23432,8,55,1
25567,95,71,1
23809,1,58,1
23164,124,52,1
14269,61,111,0
29130,74,99,1
24898,66,66,1
21948,60,43,1
29370,58,101,1
9012,52,70,0
7610,58,59,0
24075,11,60,1
19770,58,26,1
11801,25,92,0
10427,59,81,0
30703,111,111,1
28778,106,96,1
23810,2,58,1
6576,48,51,0
23922,114,58,1
23291,123,53,1
29113,57,99,1
28828,28,97,1
22793,9,50,1
27698,50,88,1
20236,12,30,1
30055,103,106,1
19856,16,27,1
20620,12,33,1
16624,112,1,1
8351,31,65,0
28282,122,92,1
24123,59,60,1
11120,112,86,0
22158,14,45,1
17603,67,9,1
16969,73,4,1
26476,108,78,1
20896,32,35,1
9383,39,73,0
7104,64,55,0
22030,14,44,1
20159,63,29,1
22976,64,51,1
3140,68,24,0
25787,59,73,1
24568,120,63,1
11001,121,85,0
11288,24,88,0
27831,55,89,1
27127,119,83,1
23223,55,53,1
6773,117,52,0
9345,1,73,0
7608,56,59,0
23814,6,58,1
658,18,5,0
10547,51,82,0
11637,117,90,0
29295,111,100,1
27376,112,85,1
23140,100,52,1
12080,48,94,0
30575,111,110,1
28224,64,92,1
29941,117,105,1
13036,108,101,0
4899,35,38,0
24067,3,60,1
10045,61,78,0
10357,117,80,0
19601,17,25,1
6774,118,52,0
30184,104,107,1
25300,84,69,1
30310,102,108,1
10095,111,78,0
21826,66,42,1
25846,118,73,1
29670,102,103,1
4927,63,38,0
23944,8,59,1
9265,49,72,0
25079,119,67,1
1410,2,11,0
30100,20,107,1
16893,125,3,1
12082,50,94,0
26468,100,78,1
29551,111,102,1
13871,47,108,0
23553,1,56,1
24817,113,65,1
19981,13,28,1
9457,113,73,0
28650,106,95,1
29426,114,101,1
24120,56,60,1
14178,98,110,0
3137,65,24,0
27637,117,87,1
23812,4,58,1
28474,58,94,1
14179,99,110,0
8822,118,68,0
26352,112,77,1
9463,119,73,0
30264,56,108,1
8505,57,66,0
10382,14,81,0
27309,45,85,1
29005,77,98,1
29963,11,106,1
4033,65,31,0
23808,0,58,1
25267,51,69,1
1345,65,10,0
11308,44,88,0
25563,91,71,1
11126,118,86,0
26868,116,81,1
19205,5,22,1
29232,48,100,1
19257,57,22,1
24345,25,62,1
11184,48,87,0
12653,109,98,0
22973,61,51,1
30583,119,110,1
26930,50,82,1
25076,116,67,1
22538,10,48,1
26720,96,80,1
659,19,5,0
28203,43,92,1
10011,27,78,0
9015,55,70,0
10669,45,83,0
11628,108,90,0
23732,52,57,1
23439,15,55,1
12213,53,95,0
6196,52,48,0
24178,114,60,1
23080,40,52,1
30409,73,109,1
11630,110,90,0
28205,45,92,1
14311,103,111,0
28663,119,95,1
12012,108,93,0
23943,7,59,1
641,1,5,0
16703,63,2,1
20789,53,34,1
395,11,3,0
3894,54,30,0
10649,25,83,0
16883,115,3,1
11289,25,88,0
24945,113,66,1
21259,11,38,1
29897,73,105,1
21945,57,43,1
19228,28,22,1
1672,8,13,0
20290,66,30,1
262,6,2,0
27131,123,83,1
12443,27,97,0
12592,48,98,0
13489,49,105,0
21624,120,40,1
13999,47,109,0
22079,63,44,1
3897,57,30,0
30132,52,107,1
26041,57,75,1
21186,66,37,1
24117,53,60,1
23813,5,58,1
11443,51,89,0
17083,59,5,1
11949,45,93,0
23560,8,56,1
29364,52,101,1
28075,43,91,1
30193,113,107,1
14121,41,110,0
26476,108,78,1
13929,105,108,0
23814,6,58,1
13561,121,105,0
11165,29,87,0
21823,63,42,1
24437,117,62,1
14278,70,111,0
22077,61,44,1
28665,121,95,1
12705,33,99,0
27445,53,86,1
10292,52,80,0
7607,55,59,0
6017,1,47,0
9395,51,73,0
10426,58,81,0
24762,58,65,1
2157,109,16,0
25964,108,74,1
8502,54,66,0
5044,52,39,0
22302,30,46,1
25332,116,69,1
28347,59,93,1
23176,8,53,1
16707,67,2,1
23559,7,56,1
28732,60,96,1
24899,67,66,1
22537,9,48,1
26093,109,75,1
6580,52,51,0
21044,52,36,1
30259,51,108,1
9306,90,72,0
8565,117,66,0
25018,58,67,1
29167,111,99,1
18310,6,15,1
502,118,3,0
26744,120,80,1
22917,5,51,1
28562,18,95,1
28970,42,98,1
10521,25,82,0
24629,53,64,1
9315,99,72,0
29011,83,98,1
27848,72,89,1
22196,52,45,1
9588,116,74,0
28936,8,98,1
29558,118,102,1
29138,82,99,1
24058,122,59,1
26732,108,80,1
20288,64,30,1
23043,3,52,1
19087,15,21,1
29615,47,103,1
7716,36,60,0
27924,20,90,1
125,125,0,0
26009,25,75,1
13035,107,101,0
29880,56,105,1
23998,62,59,1
8996,36,70,0
29258,74,100,1
23680,0,57,1
25422,78,70,1
10424,56,81,0
29809,113,104,1
26414,46,78,1
24268,76,61,1
13873,49,108,0
23426,2,55,1
13545,105,105,0
29481,41,102,1
24440,120,62,1
16574,62,1,1
