le,x,y,pol
23486,62,55,1
16632,120,1,1
6471,71,50,0
6895,111,53,0
7151,111,55,0
762,122,5,0
7139,99,55,0
18423,119,15,1
1399,119,10,0
6858,74,53,0
18300,124,14,1
18299,123,14,1
18812,124,18,1
6598,70,51,0
6717,61,52,0
6580,52,51,0
23674,122,56,1
6074,58,47,0
23401,105,54,1
23390,94,54,1
6615,87,51,0
6741,85,52,0
23668,116,56,1
21844,84,42,1
23501,77,55,1
6070,54,47,0
23368,72,54,1
16508,124,0,1
6754,98,52,0
6583,55,51,0
6757,101,52,0
21038,46,36,1
6201,57,48,0
6221,77,48,0
6585,57,51,0
7031,119,54,0
18098,50,13,1
6207,63,48,0
7005,93,54,0
18482,50,16,1
7028,116,54,0
16602,90,1,1
9840,112,76,0
6894,110,53,0
7292,124,56,0
6239,95,48,0
6215,71,48,0
16480,96,0,1
5834,74,45,0
16498,114,0,1
16501,117,0,1
6197,53,48,0
18295,119,14,1
17609,73,9,1
7162,122,55,0
7158,118,55,0
6762,106,52,0
23609,57,56,1
21294,46,38,1
19169,97,21,1
19169,97,21,1
22708,52,49,1
16605,93,1,1
16605,93,1,1
19888,48,27,1
6468,68,50,0
5935,47,46,0
6325,53,49,0
6878,94,53,0
23502,78,55,1
6321,49,49,0
6326,54,49,0
7004,92,54,0
23242,74,53,1
7008,96,54,0
16484,100,0,1
1144,120,8,0
22774,118,49,1
16566,54,1,1
16566,54,1,1
6728,72,52,0
16505,121,0,1
20399,47,31,1
20443,91,31,1
7142,102,55,0
18554,122,16,1
7284,116,56,0
1487,79,11,0
17842,50,11,1
6596,68,51,0
16591,79,1,1
6732,76,52,0
6732,76,52,0
22719,63,49,1
16693,53,2,1
6727,71,52,0
22464,64,47,1
18171,123,13,1
16568,56,1,1
7033,121,54,0
6736,80,52,0
7026,114,54,0
23350,54,54,1
6747,91,52,0
6749,93,52,0
5942,54,46,0
7138,98,55,0
16727,87,2,1
6472,72,50,0
16482,98,0,1
6896,112,53,0
16471,87,0,1
6996,84,54,0
18425,121,15,1
18425,121,15,1
16634,122,1,1
7001,89,54,0
6107,91,47,0
6873,89,53,0
5939,51,46,0
23095,55,52,1
6724,68,52,0
16624,112,1,1
5951,63,46,0
6337,65,49,0
6726,70,52,0
6726,70,52,0
7009,97,54,0
6453,53,50,0
6752,96,52,0
6752,96,52,0
16506,122,0,1
7421,125,57,0
23279,111,53,1
17607,71,9,1
5809,49,45,0
6474,74,50,0
6863,79,53,0
23226,58,53,1
7136,96,55,0
7283,115,56,0
6330,58,49,0
18553,121,16,1
16464,80,0,1
18424,120,15,1
6739,83,52,0
18685,125,17,1
16489,105,0,1
23352,56,54,1
1017,121,7,0
18811,123,18,1
23363,67,54,1
16584,72,1,1
6714,58,52,0
6605,77,51,0
6886,102,53,0
6755,99,52,0
6600,72,51,0
6604,76,51,0
20782,46,34,1
16480,96,0,1
16480,96,0,1
16626,114,1,1
16614,102,1,1
6738,82,52,0
23156,116,52,1
6455,55,50,0
16635,123,1,1
7023,111,54,0
6744,88,52,0
20910,46,35,1
21933,45,43,1
6218,74,48,0
6870,86,53,0
18993,49,20,1
7017,105,54,0
16633,121,1,1
19505,49,24,1
6854,70,53,0
6712,56,52,0
7288,120,56,0
6852,68,53,0
6349,77,49,0
16570,58,1,1
18423,119,15,1
20298,74,30,1
22746,90,49,1
6713,57,52,0
17601,65,9,1
16488,104,0,1
23536,112,55,1
6902,118,53,0
7027,115,54,0
4950,86,38,0
6586,58,51,0
18295,119,14,1
6457,57,50,0
6580,52,51,0
17258,106,6,1
6063,47,47,0
23483,59,55,1
22862,78,50,1
6451,51,50,0
6342,70,49,0
16622,110,1,1
7139,99,55,0
16821,53,3,1
17088,64,5,1
18555,123,16,1
6593,65,51,0
23153,113,52,1
6908,124,53,0
6450,50,50,0
6898,114,53,0
7140,100,55,0
7160,120,55,0
5552,48,43,0
7291,123,56,0
6335,63,49,0
6092,76,47,0
6077,61,47,0
7286,118,56,0
22847,63,50,1
18173,125,13,1
6905,121,53,0
16597,85,1,1
6734,78,52,0
22725,69,49,1
7157,117,55,0
7275,107,56,0
1399,119,10,0
1399,119,10,0
7281,113,56,0
6475,75,50,0
17469,61,8,1
6319,47,49,0
22724,68,49,1
23651,99,56,1
6585,57,51,0
7024,112,54,0
7015,103,54,0
7032,120,54,0
23014,102,51,1
22999,87,51,1
7289,121,56,0
18681,121,17,1
2390,86,18,0
16762,122,2,1
16607,95,1,1
16567,55,1,1
18683,123,17,1
17528,120,8,1
17458,50,8,1
16590,78,1,1
